external_id,reference,color,tra_value,size,label,ean,image,price
A06EA96250,A06EA,ALD,variante 5,278,3 CULOTTES,3666072772824,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA96F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA96260,A06EA,ALD,variante 5,280,3 CULOTTES,3666072772831,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA96F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA97220,A06EA,ZG9,variante 4,272,3 CULOTTES,3666072772640,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA97F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA97230,A06EA,ZG9,variante 4,274,3 CULOTTES,3666072772657,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA97F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA97240,A06EA,ZG9,variante 4,276,3 CULOTTES,3666072772664,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA97F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA97250,A06EA,ZG9,variante 4,278,3 CULOTTES,3666072772671,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA97F1.jpg?sw=200&sh=200&sm=fit,25.0
A06EA97260,A06EA,ZG9,variante 4,280,3 CULOTTES,3666072772688,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06EA97F1.jpg?sw=200&sh=200&sm=fit,25.0
A06IH01000,A06IH,FSL,AVALANCHE/MULTICO,0,BLOUSE ML,3666576056352,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IH01010,A06IH,FSL,AVALANCHE/MULTICO,1,BLOUSE ML,3666576056369,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IH01030,A06IH,FSL,AVALANCHE/MULTICO,3,BLOUSE ML,3666576056383,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IH01070,A06IH,FSL,AVALANCHE/MULTICO,7,BLOUSE ML,3666576056376,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IH01420,A06IH,FSL,AVALANCHE/MULTICO,42,BLOUSE ML,3666576056321,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IH01460,A06IH,FSL,AVALANCHE/MULTICO,46,BLOUSE ML,3666576056345,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IH01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IJ01000,A06IJ,FOZ,SALINE,0,CARDIGAN,3666576012150,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ01010,A06IJ,FOZ,SALINE,1,CARDIGAN,3666576012167,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ01030,A06IJ,FOZ,SALINE,3,CARDIGAN,3666576012181,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ01070,A06IJ,FOZ,SALINE,7,CARDIGAN,3666576012174,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ01460,A06IJ,FOZ,SALINE,46,CARDIGAN,3666576012143,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ02000,A06IJ,850,MARECAGE,0,CARDIGAN,3666576012211,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ02F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ02010,A06IJ,850,MARECAGE,1,CARDIGAN,3666576012228,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ02F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ02030,A06IJ,850,MARECAGE,3,CARDIGAN,3666576012242,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ02F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ02070,A06IJ,850,MARECAGE,7,CARDIGAN,3666576012235,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ02F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IJ02460,A06IJ,850,MARECAGE,46,CARDIGAN,3666576012204,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IJ02F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IK01000,A06IK,393,AVALANCHE,0,COMBINAISON LONGUE,3666576029967,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IK01010,A06IK,393,AVALANCHE,1,COMBINAISON LONGUE,3666576029974,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IK01030,A06IK,393,AVALANCHE,3,COMBINAISON LONGUE,3666576029998,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IK01070,A06IK,393,AVALANCHE,7,COMBINAISON LONGUE,3666576029981,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IK01420,A06IK,393,AVALANCHE,42,COMBINAISON LONGUE,3666576029936,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IK01460,A06IK,393,AVALANCHE,46,COMBINAISON LONGUE,3666576029950,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,70.0
A06IKM1039,A06IK,393,AVALANCHE,3,2MCOMBINAISON LONGUE,3617100384809,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IKM1079,A06IK,393,AVALANCHE,7,2MCOMBINAISON LONGUE,3617100384892,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IK01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IM01000,A06IM,BFQ,MARSHMALLOW/MULTICO,0,DORS BIEN Y,3666576022180,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01010,A06IM,BFQ,MARSHMALLOW/MULTICO,1,DORS BIEN Y,3666576022197,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01030,A06IM,BFQ,MARSHMALLOW/MULTICO,3,DORS BIEN Y,3666576022227,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01070,A06IM,BFQ,MARSHMALLOW/MULTICO,7,DORS BIEN Y,3666576022210,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01080,A06IM,BFQ,MARSHMALLOW/MULTICO,8,DORS BIEN Y,3666576022302,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01460,A06IM,BFQ,MARSHMALLOW/MULTICO,46,DORS BIEN Y,3666576022173,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IM01490,A06IM,BFQ,MARSHMALLOW/MULTICO,49,DORS BIEN Y,3666576022203,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IM01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN01000,A06IN,FTB,SALINE/MULTICO,0,DORS BIEN Y CHAUD,3666576043987,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN01010,A06IN,FTB,SALINE/MULTICO,1,DORS BIEN Y CHAUD,3666576044007,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN01030,A06IN,FTB,SALINE/MULTICO,3,DORS BIEN Y CHAUD,3666576043963,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN01070,A06IN,FTB,SALINE/MULTICO,7,DORS BIEN Y CHAUD,3666576043994,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN01080,A06IN,FTB,SALINE/MULTICO,8,DORS BIEN Y CHAUD,3666576044014,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN04000,A06IN,BFQ,MARSHMALLOW/MULTICO,0,DORS BIEN Y CHAUD,3666576044106,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN04F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN04010,A06IN,BFQ,MARSHMALLOW/MULTICO,1,DORS BIEN Y CHAUD,3666576044120,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN04F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN04030,A06IN,BFQ,MARSHMALLOW/MULTICO,3,DORS BIEN Y CHAUD,3666576044090,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN04F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN04070,A06IN,BFQ,MARSHMALLOW/MULTICO,7,DORS BIEN Y CHAUD,3666576044113,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN04F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IN04080,A06IN,BFQ,MARSHMALLOW/MULTICO,8,DORS BIEN Y CHAUD,3666576044137,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IN04F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01000,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,0,DORS BIEN Y,3666576019012,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01010,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,1,DORS BIEN Y,3666576018947,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01030,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,3,DORS BIEN Y,3666576018923,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01070,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,7,DORS BIEN Y,3666576018916,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01080,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,8,DORS BIEN Y,3666576018909,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IO01460,A06IO,GAR,ENNEIGE/CHALOUPE:ENNEIGE,46,DORS BIEN Y,3666576018930,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IO01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01000,A06IP,FQU,SALINE/MARSHMALLOW,0,DORS BIEN Y,3666576033230,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01010,A06IP,FQU,SALINE/MARSHMALLOW,1,DORS BIEN Y,3666576033223,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01030,A06IP,FQU,SALINE/MARSHMALLOW,3,DORS BIEN Y,3666576033193,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01070,A06IP,FQU,SALINE/MARSHMALLOW,7,DORS BIEN Y,3666576033209,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01080,A06IP,FQU,SALINE/MARSHMALLOW,8,DORS BIEN Y,3666576033254,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01460,A06IP,FQU,SALINE/MARSHMALLOW,46,DORS BIEN Y,3666576033186,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IP01490,A06IP,FQU,SALINE/MARSHMALLOW,49,DORS BIEN Y,3666576033216,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IP01F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IQ01000,A06IQ,FOZ,SALINE,0,DORS BIEN Y,3666576036750,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IQ01010,A06IQ,FOZ,SALINE,1,DORS BIEN Y,3666576036767,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IQ01030,A06IQ,FOZ,SALINE,3,DORS BIEN Y,3666576036781,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IQ01070,A06IQ,FOZ,SALINE,7,DORS BIEN Y,3666576036774,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IQ01080,A06IQ,FOZ,SALINE,8,DORS BIEN Y,3666576036859,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IQ01460,A06IQ,FOZ,SALINE,46,DORS BIEN Y,3666576036743,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IQ01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01000,A06IR,320,CHALOUPE,0,DORS BIEN Y,3666576036873,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01010,A06IR,320,CHALOUPE,1,DORS BIEN Y,3666576036880,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01030,A06IR,320,CHALOUPE,3,DORS BIEN Y,3666576036903,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01070,A06IR,320,CHALOUPE,7,DORS BIEN Y,3666576036897,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01080,A06IR,320,CHALOUPE,8,DORS BIEN Y,3666576036972,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IR01460,A06IR,320,CHALOUPE,46,DORS BIEN Y,3666576036866,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IR01F1.jpg?sw=200&sh=200&sm=fit,22.0
A06IS03000,A06IS,FI2,MONTELIMAR/MEDIEVAL,0,DORS BIEN Y,3666576025662,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03010,A06IS,FI2,MONTELIMAR/MEDIEVAL,1,DORS BIEN Y,3666576025433,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03030,A06IS,FI2,MONTELIMAR/MEDIEVAL,3,DORS BIEN Y,3666576025655,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03070,A06IS,FI2,MONTELIMAR/MEDIEVAL,7,DORS BIEN Y,3666576025686,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03080,A06IS,FI2,MONTELIMAR/MEDIEVAL,8,DORS BIEN Y,3666576025648,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03460,A06IS,FI2,MONTELIMAR/MEDIEVAL,46,DORS BIEN Y,3666576025679,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IS03490,A06IS,FI2,MONTELIMAR/MEDIEVAL,49,DORS BIEN Y,3666576025631,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IS03F1.jpg?sw=200&sh=200&sm=fit,35.0
A06IT01010,A06IT,FI2,MONTELIMAR/MEDIEVAL,52,Gigoteuse,3666576065026,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IT01F1.jpg?sw=200&sh=200&sm=fit,55.0
A06IT01030,A06IT,FI2,MONTELIMAR/MEDIEVAL,450,Gigoteuse,3666576065033,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IT01F1.jpg?sw=200&sh=200&sm=fit,55.0
A06IT01090,A06IT,FI2,MONTELIMAR/MEDIEVAL,455,Gigoteuse,3666576065040,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IT01F1.jpg?sw=200&sh=200&sm=fit,65.0
A06IU01010,A06IU,ZWM,MARSHMALLOW,52,GIGOTEUSE,3666576077913,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IU01F1.jpg?sw=200&sh=200&sm=fit,65.0
A06IV01000,A06IV,01E,ECUME,0,BONNET NAISSANCE,3666576045561,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IV01F1.jpg?sw=200&sh=200&sm=fit,7.0
A06IV01420,A06IV,01E,ECUME,42,BONNET NAISSANCE,3666576045516,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IV01F1.jpg?sw=200&sh=200&sm=fit,7.0
A06IV01460,A06IV,01E,ECUME,46,BONNET NAISSANCE,3666576045523,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IV01F1.jpg?sw=200&sh=200&sm=fit,7.0
A06IW01000,A06IW,ZWM,MARSHMALLOW,0,DORS BIEN,3666576096044,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01010,A06IW,ZWM,MARSHMALLOW,1,DORS BIEN,3666576096051,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01070,A06IW,ZWM,MARSHMALLOW,7,DORS BIEN,3666576096143,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01420,A06IW,ZWM,MARSHMALLOW,42,DORS BIEN,3666576096020,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01460,A06IW,ZWM,MARSHMALLOW,46,DORS BIEN,3666576096037,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01480,A06IW,ZWM,MARSHMALLOW,48,DORS BIEN,3666576096013,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IW01490,A06IW,ZWM,MARSHMALLOW,49,DORS BIEN,3666576096068,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IW01F1.jpg?sw=200&sh=200&sm=fit,40.0
A06IX01000,A06IX,BLS,MARSHMALLOW/GRIS,0,DORS BIEN ZIPPE,3666576030086,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01010,A06IX,BLS,MARSHMALLOW/GRIS,1,DORS BIEN ZIPPE,3666576030093,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01070,A06IX,BLS,MARSHMALLOW/GRIS,7,DORS BIEN ZIPPE,3666576030185,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01420,A06IX,BLS,MARSHMALLOW/GRIS,42,DORS BIEN ZIPPE,3666576030062,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01460,A06IX,BLS,MARSHMALLOW/GRIS,46,DORS BIEN ZIPPE,3666576030079,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01480,A06IX,BLS,MARSHMALLOW/GRIS,48,DORS BIEN ZIPPE,3666576030055,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IX01490,A06IX,BLS,MARSHMALLOW/GRIS,49,DORS BIEN ZIPPE,3666576030109,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IX01F1.jpg?sw=200&sh=200&sm=fit,45.0
A06IY01000,A06IY,BLS,MARSHMALLOW/GRIS,0,DORS BIEN,3666576003684,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IY01F1.jpg?sw=200&sh=200&sm=fit,39.0
A06IY01010,A06IY,BLS,MARSHMALLOW/GRIS,1,DORS BIEN,3666576003691,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IY01F1.jpg?sw=200&sh=200&sm=fit,39.0
A06IY01030,A06IY,BLS,MARSHMALLOW/GRIS,3,DORS BIEN,3666576003721,https://www.petit-bateau.fr/dw/image/v2/BCKL_PRD/on/demandware.static/-/Sites-PB_master/default/PB/A06IY01F1.jpg?sw=200&sh=200&sm=fit,39.0
